Date,Twitter Publication Count (L1),(R1) Open,(R1) High,(R1) Low,(R1) Close,Twitter Positive Sentiment Count,Twitter Negative Sentiment Count
9/6/24,2145,232.6,233.6,210.51,210.73,250,-122
9/5/24,1795,223.49,235,222.25,230.17,223,-129
9/4/24,1615,210.59,222.22,210.57,219.41,141,-119
9/3/24,1355,215.26,219.9043,209.64,210.6,180,-93
9/2/24,817,,,,,44,-63
8/30/24,1418,208.63,214.5701,207.03,214.11,84,-186
8/29/24,1434,209.8,214.89,205.97,206.28,65,-157
8/28/24,1463,209.72,211.84,202.59,205.75,68,-143
8/27/24,1482,213.25,215.66,206.94,209.21,78,-139
8/26/24,1011,218.75,219.09,211.01,213.21,46,-95
8/23/24,1478,214.455,221.48,214.21,220.32,120,-216
8/22/24,1388,223.82,224.8,210.32,210.66,83,-158
8/21/24,1770,222.67,224.6594,218.86,223.27,115,-174
8/20/24,1816,224.88,228.22,219.56,221.1,167,-127
8/19/24,918,217.07,222.98,214.09,222.72,50,-78
8/16/24,1384,211.15,219.8,210.8,216.12,165,-122
8/15/24,1385,205.02,215.88,204.82,214.14,72,-157
8/14/24,1722,207.39,208.44,198.75,201.38,145,-196
8/13/24,1728,198.47,208.49,197.06,207.83,71,-161
8/12/24,934,199.02,199.26,194.67,197.49,42,-111
8/9/24,1429,197.05,200.88,195.11,200,80,-188
8/8/24,1517,195.7,200.7,192.04,198.84,70,-231
8/7/24,1678,200.77,203.49,191.48,191.76,62,-242
8/6/24,1534,200.75,202.9,192.67,200.64,108,-208
8/5/24,1042,185.22,203.8799,182,198.88,55,-164
8/2/24,1323,214.88,216.13,205.78,207.67,100,-200
8/1/24,1566,227.69,231.867,214.3328,216.86,98,-159
7/31/24,1971,227.9,234.68,226.7875,232.07,110,-499
7/30/24,2152,232.25,232.41,220,222.62,279,-209
7/29/24,1168,224.9,234.27,224.7,232.1,60,-106
7/26/24,2030,221.19,222.2799,215.33,219.8,147,-261
7/25/24,4246,216.8,226,216.231,220.25,279,-1045
7/24/24,6177,225.42,225.99,214.71,215.99,578,-1132
7/23/24,2220,253.6,255.7594,245.63,246.38,240,-167
7/22/24,1190,244.21,253.21,243.75,251.51,68,-106
