Date,News Publication Count (L1),(R1) Open,(R1) High,(R1) Low,(R1) Close,News Positive Sentiment Count,News Negative Sentiment Count
8/11/21,576,237.57,238.3933,234.7367,235.94,5,-7
8/10/21,655,237.9967,238.8633,233.96,236.6633,16,-10
8/9/21,441,236.7233,239.6767,235.0433,237.92,4,-1
8/6/21,620,237.3,238.7767,232.5433,233.0333,5,-1
8/5/21,435,238.6667,240.3166,237.1367,238.21,4,0
8/4/21,504,237,241.6333,236.31,236.9733,5,-2
8/3/21,558,239.6667,240.8833,233.67,236.58,14,-1
8/2/21,380,233.3333,242.3133,232.8,236.5567,1,-2
7/30/21,594,223.9193,232.51,223,229.0667,10,-2
7/29/21,523,216.5967,227.8967,216.2667,225.7833,2,-2
7/28/21,1039,215.665,218.3233,213.1334,215.66,25,-23
7/27/21,1952,221.1333,222.1667,209.08,214.9267,116,-8
7/26/21,607,216.99,222.7333,215.7033,219.2067,3,-6
7/23/21,574,215.4533,216.2667,212.4334,214.46,2,-7
7/22/21,1018,218.8143,220.7233,214.8667,216.42,0,-15
7/21/21,648,219.87,221.62,216.7634,218.43,3,-1
7/20/21,392,217.33,220.7972,213.5003,220.1667,3,-6
7/19/21,295,209.9633,215.7333,207.0967,215.4067,0,-2
7/16/21,420,218.2267,218.9,214.0667,214.74,8,-6
7/15/21,362,219.4633,222.0467,212.6267,216.8667,0,-5
7/14/21,567,223.5833,226.2033,217.6133,217.7933,6,-6
7/13/21,940,228.7733,231.0933,222.0986,222.8467,15,-4
7/12/21,623,220.7333,229.08,220.7203,228.5667,2,-2
7/9/21,677,217.7283,219.6367,214.8967,218.9833,6,-13
7/8/21,574,209.4567,218.1433,206.82,217.6033,3,-11
7/7/21,492,221.4233,221.9,212.7733,214.8833,0,-14
7/6/21,327,227.2372,228,217.1334,219.86,2,-6
7/5/21,347,,,,,1,-1
7/2/21,508,226.3267,233.3333,224.42,226.3,1,-6
7/1/21,406,227.9733,229.33,224.2667,225.9733,2,-2
6/30/21,563,226.59,230.9367,226.0467,226.5667,,
6/29/21,766,228.2167,229.17,225.2967,226.92,4,-7
6/28/21,412,223.88,231.5666,223.44,229.5733,1,-4
6/25/21,769,229.86,231.27,222.9,223.9567,24,-11
6/24/21,606,224.9967,232.54,222.5367,226.6067,11,0
6/23/21,643,210.6667,219.068,210.0133,218.8567,2,-1
6/22/21,567,206.0833,209.5231,205.1667,207.9033,2,-7
6/21/21,321,208.16,210.4633,202.96,206.9433,0,-1
6/18/21,364,204.4567,209.45,203.9333,207.77,4,0
6/17/21,423,200.6293,207.1567,200.4467,205.5333,1,-2
6/16/21,376,199.1783,202.8333,197.8333,201.6233,0,-3
6/15/21,757,205.5633,205.5967,199.41,199.7867,4,-6
6/14/21,551,204.0767,208.4967,203.06,205.8967,0,-2
6/11/21,790,203.41,204.1867,200.5067,203.2967,13,-4
6/10/21,521,201.2933,205.53,200.1667,203.3733,1,-6
6/9/21,1436,200.7233,203.93,199.21,199.5933,10,-8
6/8/21,1357,207.67,207.6967,198.5,201.1967,14,-27
6/7/21,1030,197.275,203.3333,194.2933,201.71,3,-11
