time,open,high,low,close,Volume
1635780600,210.84,212.12,210.84,212.05,43098
1635784200,212.03,212.91,212.03,212.66,31264
1635787800,212.67,213.54,211.86,212.1,26417
1635791400,212.27,213.85,212.27,213.52,37529
1635795000,213.55,214.68,213.55,214.68,55555
1635859800,213.72,215.71,212.65,212.74,92407
1635863400,212.7,212.79,211.8,212.62,41485
1635867000,212.64,212.66,211.31,211.73,28635
1635870600,211.82,212.22,211.18,211.18,13281
1635874200,211.2,211.85,210.71,211.72,28838
1635877800,211.62,212.86,211.55,212.86,32362
1635881400,212.92,213.09,212.46,212.81,30411
1635946200,211.29,212,211.01,211.5,30810
1635949800,211.4,212.43,211.12,212.05,22182
1635953400,212.03,212.99,211.82,211.91,19389
1635957000,211.85,212.3,211.81,211.95,10605
1635960600,211.81,213.09,211.5,212.86,14379
1635964200,212.91,213.76,212.65,212.87,33852
1635967800,212.86,213.51,212.85,213.4,23254
1636032600,213.6,214.78,212.44,212.45,60927
1636036200,212.59,212.83,211.9,212.05,40769
1636039800,212.02,213.3,211.97,213.04,39151
1636043400,213.09,213.61,212.37,212.37,27695
1636047000,212.54,212.59,212.13,212.3,28413
1636050600,212.32,212.74,212.06,212.63,24005
1636054200,212.75,213.07,212.52,213.03,29347
1636119000,218.41,220.585,217.9,218.24,264218
1636122600,218.36,220.14,218.25,220.07,68945
1636126200,220.03,221.62,219.48,221.56,94405
1636129800,221.51,223.32,221.26,221.3,130224
1636133400,221.29,223.84,221.29,223.07,81387
1636137000,223.07,224.29,223.07,223.115,100348
1636140600,223.15,224.58,222.93,224.54,93172
1636381800,224.9,226.97,223.87,223.95,167423
1636385400,223.79,225.32,222.65,224.32,54597
1636389000,224.25,224.67,222.79,223.65,28237
1636392600,223.85,223.86,222.15,222.45,29181
1636396200,222.42,223.16,222.17,222.82,20856
1636399800,222.88,223.3,222.59,222.68,28825
1636403400,222.68,223.32,222.56,222.69,24300
1636468200,222.31,222.79,217.66,219.41,84137
1636471800,219.47,220.24,218.84,218.97,22239
1636475400,219,219.33,217.915,218.05,25214
1636479000,218.04,219.78,218.04,219.4,21445
1636482600,219.44,219.82,219.12,219.62,24614
1636486200,219.71,221,219.5,220.47,25695
1636489800,220.51,221.03,220.35,220.845,28950
1636554600,219.44,222.54,219.21,220.91,155111
1636558200,220.75,223.63,220.63,223.19,35939
1636561800,223.29,225.6,223.2,223.84,66457
1636565400,223.52,223.63,220.65,221.3,32510
1636569000,221.3,221.31,218.35,218.47,29070
1636572600,218.3,219.49,217.38,219.13,63710
1636576200,219.14,219.19,218.46,218.46,31798
1636641000,220.67,222.52,219.38,219.38,72876
1636644600,219.49,220.41,218.93,220.25,41025
1636648200,220.13,221.15,220.06,220.67,16316
1636651800,220.73,220.9,219.87,219.99,16500
1636655400,220.09,220.46,219.55,219.61,30276
1636659000,219.59,220.05,219.42,219.46,31256
1636662600,219.48,219.89,219.24,219.43,28418
1636727400,219.45,223.72,219.02,221.19,96678
1636731000,221.44,221.6,220.34,221.06,34925
1636734600,221.02,221.78,220.79,220.88,17824
1636738200,220.84,220.88,219.8,219.92,17480
1636741800,220.07,220.47,219.9,220.19,17073
1636745400,220.26,220.45,219.94,220.23,20198
1636749000,220.33,221.04,220.3,220.95,35383
1636986600,227.37,231,227.23,228.76,213475
1636990200,228.76,232.5,228.32,232.13,130913
1636993800,232.17,233.94,231.6,233,158176
1636997400,232.98,232.98,231.275,231.77,40630
1637001000,231.65,233.48,231.36,232.405,53380
1637004600,232.35,233.82,232.07,233.09,57971
1637008200,233.04,233.5,232.25,233.11,77223
1637073000,232.9,232.9,227.35,227.54,168059
1637076600,227.43,228.66,226.86,228.4,91119
1637080200,228.64,228.81,228.06,228.15,35144
1637083800,228.05,229,227.68,229,27585
1637087400,229.09,229.09,227.42,227.79,30639
1637091000,227.89,227.89,226.89,226.96,40833
1637094600,226.9,227.07,225.52,225.76,78244
1637159400,229.65,231.27,226.69,226.96,145785
1637163000,227.05,228.35,226.02,226.23,47903
1637166600,226.23,227,224.39,224.39,44183
1637170200,224.38,226.12,224.23,225.09,47815
1637173800,225.05,226.26,224.86,226.1,41413
1637177400,226.38,227.45,226.24,227.43,37984
1637181000,227.42,227.42,226.44,226.62,32690
1637245800,230.25,231.45,225,225.35,233644
1637249400,225.66,229,225.66,228.46,89017
1637253000,228.56,229.31,227.42,228.59,47170
1637256600,228.69,228.86,227.1,227.37,34934
1637260200,227.39,227.5,226.2,226.38,33200
1637263800,226.39,227.5,226.11,227.41,40926
1637267400,227.26,227.44,226.61,227.225,33509
1637332200,224.96,225.22,217.54,217.75,185937
1637335800,217.7,217.97,216.41,217.52,130224
1637339400,217.54,217.71,215.84,215.9,85404
1637343000,215.95,216.69,215.06,215.08,77917
1637346600,215.05,215.1,213.39,213.39,99783
1637350200,213.45,214.41,213.24,213.61,88743
1637353800,213.64,214.53,213.48,214.05,68434
1637591400,214.87,214.9,210.61,210.62,53363
1637595000,210.73,211.265,209.13,210.5,63404
1637598600,210.3,210.82,209,209.73,47506
1637602200,209.66,210.54,209.54,210.17,31337
1637605800,210.23,210.23,209.3,209.865,24703
1637609400,209.87,211.59,209.8,211.4,38376
1637613000,211.51,211.58,209.82,209.94,34622
1637677800,211.78,212.91,209.9,209.93,76208
1637681400,209.84,210.06,207.8,209.07,60874
1637685000,209.24,209.48,208.15,209.22,23192
1637688600,209.235,209.4,208.06,208.3,25405
1637692200,208.27,208.85,208.11,208.32,18762
1637695800,208.42,208.83,207.9,208.42,38402
1637699400,208.47,209.37,208.25,209.12,24836
1637764200,207.53,209.76,206.92,209.57,38693
1637767800,209.61,210.31,209.06,210.25,44194
1637771400,210.6,210.98,209.62,209.78,36096
1637775000,209.99,211.2,209.85,210.51,27584
1637778600,210.47,210.49,209.195,209.99,17450
1637782200,209.81,210.665,209.8,210.58,11340
1637785800,210.605,210.65,210.17,210.56,21712
1637937000,197.6,198.03,194.6,196.18,203404
1637940600,196.21,196.21,194.03,194.42,107126
1637944200,194.37,197.66,194.1,197.62,94318
1637947800,197.66,199.36,197.6,198.85,80696
1637951400,199,199.08,199,199.08,12937
1638196200,201.68,204.22,196.21,196.47,77337
1638199800,196.41,197.37,195.42,196.075,65029
1638203400,196.24,198.44,195.87,198.3,35804
1638207000,198.29,198.91,197.31,197.55,30709
1638210600,197.53,197.95,196.83,197.84,29761
1638214200,197.79,198.25,197.17,197.5,32984
1638217800,197.49,198.35,197.34,198.35,49911
1638282600,196.58,198.03,195.5,196.61,56528
1638286200,196.98,197.84,194.66,195.39,71145
1638289800,195.44,195.62,193.86,194.88,54518
1638293400,194.88,195.83,194.35,194.61,25320
1638297000,194.56,196.85,194.56,196.44,36397
1638300600,196.46,198.12,196.31,197.7,36846
1638304200,197.62,198.8,197.62,197.885,41354
1638369000,200.86,201.62,197.83,199.11,76583
1638372600,199.16,199.85,197.97,197.97,24803
1638376200,198.05,198.09,195.55,196.13,50951
1638379800,196.37,196.47,193.25,193.92,47253
1638383400,193.85,194.3,191.4,192.86,52779
1638387000,192.95,193.31,189.94,190.25,63401
1638390600,190.13,190.88,188.01,188.07,65936
1638455400,196.7,196.84,193.13,194.49,250375
1638459000,194.77,197.68,192.49,197.46,89703
1638462600,197.77,199.14,196.345,198.46,77315
1638466200,198.86,199.15,197.45,197.8,32925
1638469800,197.76,200.99,197.33,200.99,87580
1638473400,200.95,201.33,200.05,200.91,61805
1638477000,201.2,202.54,201.13,202.47,100346
1638541800,198.8,199.87,196.13,198.39,88374
1638545400,198.34,198.66,195.99,197.27,63168
1638549000,197.05,199.34,196.38,198.1,70979
1638552600,198,199.04,197.59,198.46,38326
1638556200,197.97,197.97,195.87,196.5,48390
1638559800,196.42,197.66,195.5,197.24,52151
